receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AbekenBernhardRudolf,0.004661957237389498,0.0011683156972373014,0.0003058072219940747,0.00027476195586806514,0.00011087924194995978,9.697653550204798e-05,0.0798362438387048,0.00010371862409845972,0.0005165282911100736,8.84742910178813e-05,0.14135108265700277,0.046139324477846876,8.373160986366554e-05,0.00011154151067438041,0.0001266025383591838,0.00020526780541907654,0.0005874601207647216,0.011174470618854043,0.00011964129281628206,7.100558860855128e-05,0.01264577767675079,0.00014841521898954996,0.0001373425831965291,0.00024465112813229804,8.929423042300746e-05,0.00011855975351716949,0.01833500636051905,0.0006615397610770289,0.0002080093017205943,0.0002558349016875211,9.21519024253015e-05,5.469852842034921e-05,0.00010530508518505182,0.2781358515408434,0.0011564749317538904,0.0001890402764268211,0.0005739136247546389,0.00010240188003342837,0.18566899877729326,0.034211982345189636,0.00013123462160582179,0.00014352011504416474,0.038135921473945615,0.00011502089054943367,0.00014367849577494166,8.211738206107673e-05,4.977806664331619e-05,9.674724192345688e-05,0.0001483023387385687,9.682791162441836e-05,0.13036710091978967,0.00011020378668600993,0.005261445599114737,0.00017947322905589275,0.0002599439631268817,0.00010768410629786265,0.00014900174411965322,0.0010011950852363669,7.16369607079807e-05,0.00308012510453315
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.06597948097526439,0.0022943583288332586,0.0006005494477722107,0.00053958222369443,0.0002177465498958684,0.00019044417742281289,0.1344499654038464,0.00020368440620813845,0.0010143670838188663,0.00017374732442995084,0.0012705787936020704,0.004725627183836894,0.0001644335661427801,0.000219047124532838,0.00024862422804272795,0.0004031084236206448,0.001153664222881844,0.0004737246875129751,0.00023495361510122783,0.00013944198815694575,0.0035788333105995,0.05711571003822851,0.0002697157116056684,0.0004804500656938273,0.00017535753544375325,0.0002328296697457496,0.00022177936118943046,0.1717718921720747,0.00040849222090054665,0.0005024129512947722,0.00018096948054989288,0.00010741790472636313,0.0002067999255972896,0.23043860409502345,0.059095354926516235,0.0003712405249115837,0.0011270613825530395,0.000201098561714488,0.17181338879346358,0.0034205926027178393,0.00025772079226924984,0.0002818472542013652,0.0677350103229087,0.00022587999018240543,0.00028215828498666064,0.00016126351800231455,9.775501781442908e-05,0.00018999388677531722,0.0002912386668046069,0.00019015230731244003,0.0009552087435883836,0.00021642007930725758,0.0031755528853303363,0.0003524525938157872,0.0005104823963594734,0.0002114718879081229,0.00029261217104247395,0.001966164015454814,0.00014068188747383786,0.006048802309294537
AbekenMinonaLaura,0.0013141707516915982,0.00032933942545367045,8.620476043356208e-05,7.745333294425091e-05,3.12560260252338e-05,2.733695743389884e-05,0.3333335495098819,2.9237501601841302e-05,0.00014560544810535527,2.494023853325965e-05,0.00018238288440817235,0.04554035681094522,2.3603312315343645e-05,3.1442714607534274e-05,3.568830526097176e-05,5.786345356885453e-05,0.06949782165823708,6.799993464319983e-05,3.372598239484705e-05,2.001594244743778e-05,0.029062278625356836,4.183713620058556e-05,3.871584328382135e-05,6.896531662307861e-05,2.5171373296945208e-05,3.3421104584664765e-05,3.183490846817821e-05,0.00018648309300565223,5.8636260798065136e-05,7.211793844078668e-05,2.5976929584167983e-05,1.541910458424672e-05,2.96847130738761e-05,0.00045095592789898937,0.004404367547235837,5.32890349528247e-05,0.00016178194291464282,2.8866321333637763e-05,0.281599689832633,0.0004910026425833148,3.6994054758910295e-05,4.045724314195305e-05,0.09536858169494147,3.2423525677431554e-05,4.050188948112348e-05,2.314827361449157e-05,1.4032063343213337e-05,2.727232129521477e-05,4.180531610513436e-05,0.13461337123634493,0.00013711367350438978,3.1065620256420676e-05,0.0004558288692787898,5.059215611101827e-05,7.327625201715386e-05,3.035534126819721e-05,4.2002473232193655e-05,0.0002822293793693763,2.019392150306912e-05,0.0008682641469691168
AhlefeldtJohannGeorgJacobvon,0.010008302719110835,0.002508143377133907,0.0006565077918048094,0.0005898597284350891,0.00023803586395016441,0.00020818949521265328,0.20909687461995866,0.00022266342969896318,0.0011088843670538184,0.00018993685318776014,0.03244849578097138,0.005165954408687241,0.00017975525214025833,0.0002394576242834085,0.0002717906802628811,0.0004406694936292524,0.0012611610155632846,0.0005178656806300668,0.00025684625903639333,0.00015243499443614824,0.003912303912184021,0.00031861820349993083,0.09347342622173592,0.0005252177199915918,0.00019169710137537013,0.00025452440747127797,0.0002424444468685625,0.0014201953927176268,0.00044655494548815364,0.0005492270760588164,0.00019783195955071047,0.0001174269524246614,0.00022606924875696768,0.0034343356322464862,0.06460177611127241,0.000405832189409666,0.001232079360381039,0.00021983663989043936,0.2810012949606536,0.00373931856003626,0.00028173484941584263,0.0003081093807818654,0.16722504110212674,0.0002469271666432209,0.00030844939297369246,0.0001762898234193891,0.031166389952592424,0.0002076972471225844,0.00031837587186424614,0.00020787042906020653,0.0010442137367574717,0.0002365857947173088,0.003471446390037092,0.0003852936255960818,0.0005580484205462174,0.0002311765378760543,0.00031987735727495066,0.002149368384070049,0.00015379042580922293,0.06873147363411483
ArnimLudwigAchimvon,0.0019157962525953485,0.0004801105459879492,0.0001256691771460567,0.00011291135859979763,4.556499028234187e-05,3.9851777664210495e-05,0.04597090493338797,0.00598805846152782,0.00021226341514498146,0.0059817939175386865,0.07161111038882262,0.0009888705782593176,3.4408875120958975e-05,4.58371446320816e-05,5.2026360647914927e-05,8.435326031015727e-05,0.00024141231688784679,9.913020800263766e-05,4.9165689164803025e-05,2.917921243004835e-05,0.0007488959301425045,6.0990117645847935e-05,5.643990127138356e-05,0.00010053754047978665,3.66947921895944e-05,4.8721238726764536e-05,4.640888428428842e-05,0.0002718547877380084,8.547985758969231e-05,0.00010513342808148608,3.786913099931869e-05,2.2477948731435364e-05,4.3274332496821416e-05,0.3454926951604431,0.00047524467249622206,7.768467935816773e-05,0.00023584548626920162,4.2081282181947634e-05,0.31538865013011186,0.0007157829539766508,5.392988040876709e-05,5.8978511507674755e-05,0.04390120557420403,4.726696961471384e-05,5.9043596877414346e-05,3.374552035008455e-05,2.0455921983125456e-05,3.975755119317255e-05,6.094373035595873e-05,3.9790701799866346e-05,0.05965424485099841,4.528741702339119e-05,0.048227995263513686,7.375317321850826e-05,0.00010682201596557808,4.425197332462968e-05,6.123114573535785e-05,0.00041143358781359397,2.9438670044197865e-05,0.04882924282470024
BarthKarl,0.002924144463115508,0.000732808926226957,0.30873228254819673,0.0001723404164848765,6.954738212141413e-05,6.082711292719351e-05,0.006643905523217252,6.505598934864929e-05,0.00032398481272595276,5.5494204479849646e-05,0.0004058178139505176,0.010584066219552836,5.251942712106203e-05,6.996278048845142e-05,7.940958972988671e-05,0.0001287512274583131,0.000368475764998058,0.00015130578132497668,7.504325032046258e-05,4.453721649669556e-05,0.0011430651274159714,9.309127449083662e-05,8.614612570513329e-05,0.00015345384037104845,5.600849947431262e-05,7.436487062024192e-05,7.083544601124868e-05,0.00041494113544622617,0.0001304707908997023,0.00016046869869191873,5.780093242412394e-05,3.4308851599525555e-05,6.605107385202071e-05,0.0010034162440288438,0.0007253819793322763,0.00011857274734009538,0.00035997892358887324,6.423008090053627e-05,0.3906411416395328,0.2642593946699177,8.231499616942132e-05,9.002089216654738e-05,0.003484853555518412,7.214517060458417e-05,9.012023416249084e-05,5.150692635136593e-05,3.1222563946372524e-05,6.068329188505961e-05,9.30204720050792e-05,6.073389077462379e-05,0.0003050898741120203,6.912371269040339e-05,0.0010142589633151226,0.00011257195686228976,0.000163046047355725,6.754328003505211e-05,9.345916379662312e-05,0.0006279849676681585,4.493323540778836e-05,0.001931963403243716
BentzelSternauChristianErnstGrafvon,0.020596684530296654,0.0012579052552403266,0.015906493334596112,0.00029583143412678864,0.00011938175741003386,0.00010441295441933011,0.21390868301001054,0.00011167204431838472,0.016133373056282357,9.525873519308703e-05,0.0006966077275652581,0.0025908730969141395,9.015237262180204e-05,0.00012009481066336255,0.00013631075804713394,0.00022100828721114042,0.0006325081267858419,0.00025972437106748015,0.00012881570566348368,7.645048617710006e-05,0.2200434357187107,0.0001597960930988664,0.00014787437811520306,0.00026341162795793914,9.614154973467521e-05,0.00012765123105159604,0.00012159278715888051,0.0007122683911352109,0.00022396000874758446,0.000275453003043286,9.921835563391896e-05,5.889295720032962e-05,0.00011338015946463972,0.03287688902084974,0.0012451565083366671,0.000203536388094153,0.0006179228493976584,0.00011025432881295571,0.1253529073407446,0.2355339146442119,0.0001412980417688496,0.00015452561955099878,0.09944535132769756,0.00012384099865018534,0.00015469614533785946,8.841436153384602e-05,5.3595181314774736e-05,0.00010416607799869774,0.00015967455688972542,0.0001042529336670912,0.0005237028947533073,0.00011865450643821911,0.001741029120234215,0.00019323571406102856,0.00027987715825313183,0.00011594161024991024,0.00016042759453741768,0.001077969389795684,7.713027356997893e-05,0.0033163172975865128
BergnerCaroline,0.007459670551707694,0.0018694401853113344,0.0004893269097607867,0.0004396508947959213,0.00017741960594064597,0.00015517366832312345,0.4568020932790597,0.00016596178953459542,0.0008265049819451598,0.00014156909419848565,0.001035265950184858,0.0038504348894606985,0.00013398025604731179,0.00017847931246503358,0.0002025786979758483,0.00032845221981396284,0.0009400041098671944,0.00038599025988288443,0.0001914399003131163,0.0001136171507755998,0.00291602873155727,0.00023748150876251714,0.00021976401137911483,0.0003914700892864695,0.00014288109204041118,0.00018970931239707992,0.00018070553534287512,0.0010585400987619046,0.0003328389308425477,0.00040936541993810384,0.02329761610806354,8.752396920472546e-05,0.00016850031068493275,0.2572115624428669,0.0018504935916193387,0.00030248629735125595,0.0009183281501319168,0.00016385484680091423,0.024242513902395825,0.002787094408374839,0.00020999056668860212,0.00022964877652377496,0.12464088563544864,0.0001840467225184713,0.0002299022040035165,0.0001313973049412518,7.965066150371148e-05,0.00015480677208859914,0.00023730088731078848,0.0001549358529364137,0.0007783028431888199,0.00017633879942850728,0.07203792359635003,0.00028717791550525066,0.0004159403932923253,0.00017230701950559602,0.00023842001677923115,0.0016020278851880455,0.0001146274191280227,0.004928556262503928
BertuchFriedrichJohannJustin,0.01439549555981122,0.04483436726639817,0.000548151485129107,0.2047570949630995,0.00019874815496030923,0.00017382791554593552,0.03571064380803652,0.00018591293385549892,0.000925863516358265,0.00015858786362519633,0.0011597207445117762,0.0043133160285066165,0.00015008673111032206,0.00019993525440968967,0.00022693175448958497,0.00036793719800325554,0.0010530069746277808,0.000432392190128287,0.000214453903058189,0.00012727566927440956,0.0032665799652499676,0.00026603041672593257,0.00024618300529247834,0.00043853077880165,0.00016005758366550486,0.0002125152720174691,0.00020242910331187618,0.07395543856044128,0.00037285125876138255,0.0004585774017808874,0.00016517988634316921,9.804568836694136e-05,0.00018875662405694175,0.14177312344864473,0.002072951211622336,0.00033884977469429006,0.0010287252331509027,0.0001835527043943521,0.23298033403792284,0.16732831424304218,0.00023523464313403766,0.00025725607032551877,0.025206914242567494,0.00020617195226594798,0.00025753996366271694,0.00014719326979323487,8.922588871337421e-05,0.0001734169127749228,0.00026582808181437083,0.00017356151111402873,0.0008718667436105658,0.00019753741898207401,0.02131660445050397,0.00032170109131631364,0.00046594278745028104,0.00019302095747469864,0.0002670817477541379,0.0017946161287417575,0.0001284073873277459,0.011560102637446062
BodeAugustTheodorHeinrich,0.018408389045957135,0.0018431560391260807,0.002804815496050061,0.01238452675288668,0.00010686213973519944,0.0015592033656839609,0.04587676065064803,9.996094766371416e-05,0.0012149825808096446,8.52689095222387e-05,0.31799489381202856,0.018734809529558756,8.069805345118054e-05,0.00010750041477863121,0.00012201578859166219,0.00019783105042989562,0.000566176719916145,0.000591070893500238,0.00011530674566483261,6.843308989514469e-05,0.005618217331403721,0.0033332496969700723,0.00013236672671124874,0.006043432154279045,8.605914291258362e-05,0.00011426439002027441,0.00010884129781685185,0.0025999634283755007,0.0032797898559904443,0.0002465661248442799,8.88132828170062e-05,5.271682674384714e-05,0.0011772417281493276,0.020273357711644298,0.003076967333151519,0.0001821914370971312,0.0005531210070153921,9.869190861007079e-05,0.35073440979852727,0.02498736178621652,0.00012648005366474674,0.0001383204495173499,0.06949443782605158,0.00011085373837519388,0.0011707339514309522,0.001695310775181946,4.797463095740487e-05,9.324213535014475e-05,0.000142929415521167,0.0023682059233884126,0.04350908935032216,0.00010621115589429567,0.017527596327219275,0.00017297099930349254,0.010260336013631256,0.00010378276232854823,0.00014360348177784956,0.000964922263348522,6.904158768361788e-05,0.006003672163857924
