year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.05737420848121422,0.004046509827487929,0.0004866400799345214,0.000437236829446727,0.00017644541817476455,0.00015432163008041706,0.18560812169888252,0.00016505051513450192,0.0008219667515867833,0.00014079175688638937,0.007483264365507195,0.021956731243777842,0.00013324458804929687,0.00017749930598973717,0.0002014663649383018,0.00032664873179175173,0.0009348426706967274,0.0003838708380358249,0.0001903887289513166,0.0001129932939155134,0.010580730488091437,0.00023617752897272493,0.00021855731604163232,0.0003893205784155065,0.00014209655072039437,0.00018866764346634838,0.0053865770800824555,0.001052727794036948,0.0003310113559659338,0.00040711764815569993,0.00014664404872438182,8.704338657932413e-05,0.00016757509759844107,0.002545720534411122,0.006215001759882534,0.00030082538480067267,0.0629908463194463,0.00016295514134678747,0.23710053801811956,0.10579599263356143,0.00020883753605292947,0.0002283878052384823,0.2005966070074063,0.0001830361461254201,0.015590066416189962,0.00013067581958868947,7.921331017734659e-05,0.00015395674842495308,0.00023599789928967707,0.00015408512050677707,0.041895373698108807,0.00017537054622930367,0.00257322909160281,0.0002856010592698121,0.00870630585982006,0.00017136090428068677,0.0002371108837651195,0.003780565853200702,0.00011399801501703376,0.008741850850803264
1799,0.008114116798555395,0.00028215880426326484,7.385520908172215e-05,6.635749661508012e-05,2.6778339450713845e-05,2.342071014157925e-05,0.047981529585153934,2.504898549651882e-05,0.0001247462525175363,2.1367341225215947e-05,0.0001562550141447744,0.0005811547825066432,2.0221940845301652e-05,2.693828333559476e-05,3.0575657696453754e-05,4.95740309470713e-05,0.000141876930712555,5.825837651376029e-05,2.8894453957419173e-05,1.7148491649281304e-05,0.0004401227632519833,3.584361728904878e-05,3.316947563128518e-05,5.9085459468449596e-05,2.1565364005074e-05,2.863325243789585e-05,2.7274292152657115e-05,0.00015976783364247417,5.023612709125354e-05,6.178644190064227e-05,2.2255517631401693e-05,1.321018917279098e-05,2.543213019299217e-05,0.0003863527277857277,0.00027929915234019184,4.565493597348706e-05,0.00013860532944484928,2.473097989941133e-05,0.4474104374262422,0.16464364381533894,3.169434768171191e-05,3.466140542692934e-05,0.0013417987650891842,2.7778585034394312e-05,3.4699655805418665e-05,1.9832090235861053e-05,1.2021853165054582e-05,2.3365333669181007e-05,3.581635568782479e-05,0.31449292366519666,0.00011747099549605757,2.6615210897309922e-05,0.000390527579645858,4.3344407532506206e-05,6.277881739051705e-05,2.600668530176549e-05,0.007024197242834736,0.00024179766543628995,1.7300973719873575e-05,0.0042379840490503005
1800,0.07054204532933699,0.011208875155252237,0.001400164919677853,0.0002363861003062748,0.0040130165445416525,8.34318746062126e-05,0.16267729372184977,8.923229929088205e-05,0.0008430887335763189,7.611713406612211e-05,0.021071964642952083,0.0276860919478108,7.203686065454594e-05,0.007710728798595161,0.0018208339738087869,0.0006067973679354384,0.017238121921914522,0.00020753450833364953,0.0009840384693763572,6.108827598820398e-05,0.012616754252313402,0.00012768614465638665,0.0041694025737901595,0.0005230534333021869,7.682255297265473e-05,0.0001020005760937816,9.71595356886244e-05,0.004194855757495369,0.0001789567536954542,0.00022010257766978312,7.928109545333602e-05,4.705881418309234e-05,9.059718020520787e-05,0.022025216598971067,0.007891873505058588,0.00016263712202869152,0.00851285240777276,0.00745315348729641,0.2937665624063068,0.14716484864588786,0.021350990337945856,0.00012347473726343925,0.04445520520645176,9.895598422581916e-05,0.00042100756827892635,0.002449820661080608,0.0013932397759406458,8.323460633922428e-05,0.0001275890303297444,0.0016781187004966539,0.004103993836198368,9.481168268506367e-05,0.008460864776417021,0.00015440629905207428,0.03859142944352538,9.264392471038122e-05,0.000128190750134968,0.0008613587026526936,6.163146468386889e-05,0.03713926851087207
1801,0.11718038052313004,0.00504695064678331,0.005167194181154519,0.003921748865926246,0.000260271315284459,7.540988393202826e-05,0.26587514493479664,8.065259667571176e-05,0.007038218827670951,6.879845709157164e-05,0.009230186550774214,0.015490652456068163,0.001634562750464933,0.0003206666186385145,0.0031614466712072925,0.0024994152732240415,0.024013318264134276,0.0003498266306702759,0.0015226203529706372,5.521462658751222e-05,0.04714014732250592,0.002372068096732837,0.00024216906958400943,0.0033016602484853977,0.0024130682753297447,0.004522759973665023,8.781762778015474e-05,0.005151661968100166,0.0009850116331352155,0.00908732573236741,7.165820298726618e-05,4.2534100213800437e-05,8.188624402950965e-05,0.007806795330164433,0.005957562836199609,0.007640608075276494,0.0029075307226729113,0.004993748524286614,0.24047912469231283,0.0582734992646553,0.0011758323548372463,0.00011160261769882722,0.076116290525674,0.002737150658955588,0.00041631108968156745,6.385526372920428e-05,3.87079019527767e-05,7.523158304657802e-05,0.0005032581721976045,7.52943125796021e-05,0.0028312149952938043,0.0030437169933514993,0.009448938773592623,0.0010849462492432164,0.003275298311548444,0.00025562458371931933,0.006755456069375003,0.008226516219778091,5.5705587586370425e-05,0.0171577293684886
1802,0.1908270816417272,0.005445646702142671,0.0017193291480890978,0.0003805956680365585,0.0001411710174044986,5.451907292030323e-05,0.17905790913106484,0.0007834543112334477,0.0045030024730689676,4.973921061011853e-05,0.006199512016970758,0.016718253024042534,0.004339214176965529,6.270733144482052e-05,0.0010225724463272482,0.0006425916169825218,0.007893054908465792,0.000815854865467621,0.0005705197292573284,3.991851062793336e-05,0.06978155214730022,0.00036447197792440904,7.72123923543985e-05,0.0025361930634970275,0.0010574440878236462,0.0001528853785186249,0.00014232550338544517,0.006298935964616781,0.0018094237978517587,0.0001438273865781276,0.00020325087189789544,3.075087230270587e-05,5.9201286046781284e-05,0.006027234759294222,0.01153108689945524,0.03864348768307,0.013933275685659352,0.00048245559986145376,0.22248050773044284,0.028683784240319338,0.0005094632387946608,0.0019082833341200146,0.1108544386196311,0.0029199081191327177,0.00027646330345732975,0.001612584312698555,0.00023466967858201974,5.439016675484118e-05,0.0009307511173100978,0.00021376794147706343,0.002485087758441546,0.003761244028670802,0.013057547588294215,0.0005180417102028667,0.002125550493124795,0.003943777622090968,0.0012903278395036482,0.0040832603112103275,0.0004232479674504267,0.023091240518001915
1803,0.09188408720932338,0.0035876659210706367,0.0018903846977504266,0.003827969310169979,9.239816179750854e-05,0.00630645498780236,0.12142360195657606,0.004555192711777107,0.003141140607228639,0.0005275071524798713,0.10767297789767141,0.02230344481733474,0.0024466590519619667,0.00018988158578642363,0.00010550073771758315,0.000790202396126994,0.006112045498966783,0.0008808014108506348,0.00015566399598655544,0.00045534950225965386,0.06975904439211605,0.0016319723423834209,0.001788787420194106,0.0016099336448747224,7.441088706155289e-05,0.0002629331362984949,0.0005510310006081215,0.011535811268447074,0.001240198379768222,0.00030137203898634643,7.67922493020283e-05,4.55815118338377e-05,0.0003230737972167501,0.012659585929019182,0.0064799954198359435,0.003446739043042043,0.0025722788811031556,0.003959355429486909,0.2711098290836037,0.06379966168771223,0.0002293719018046256,0.00978473371857196,0.07535788166361368,9.584949056448656e-05,0.005315366213562027,0.0004219671103042088,4.148118055994663e-05,0.00021170799723194887,0.0007790154103351405,0.002323087924861361,0.010212914631531176,0.0005588581566754044,0.014183939142211895,0.00019960772002843068,0.01419541680416138,0.0025972460729923883,0.00012416649878876337,0.0034462680916399705,5.969668776383766e-05,0.028284106429264745
1804,0.06434111937857263,0.008547565528315456,0.0006962734699565512,0.004317810421134966,0.0017807906723490763,0.0007654392292198494,0.10516798641305088,0.002219166426631699,0.009515957193112599,0.0008102581928909827,0.101844205506017,0.030797624696680893,0.0027998373754700486,8.245206454689772e-05,0.0023898074178436966,0.0001517350288649186,0.009137291147243298,0.00676078564414361,0.006551322886463704,0.00020686548794159756,0.11090106525219348,0.0006325570591362225,0.00010152435148396192,0.002909695190608055,0.0012808463331928511,0.0011236988789017795,0.00017099548762596235,0.001944661265413409,0.001827009653415578,0.00035206725410948824,0.0014853989687246666,4.043343656247288e-05,0.00045860726453102386,0.011813165133657202,0.01080861150596016,0.007758094165711631,0.005971100991114019,0.0003831332128261799,0.27765501809810056,0.043589275887357275,0.0048778128900787004,0.00010609081514006845,0.07509318707459069,0.00020423321865635605,0.005131115557270308,0.00013078547859196216,0.00016829528772568863,0.0005113590459618702,0.0018752393635654212,0.004032373738153267,0.0019475550113594075,0.0008807581464688071,0.012415513657573967,0.00039170726403921967,0.005314011057363818,7.960065117878757e-05,0.001417262258129761,0.0031061803568375036,0.0012033436938063804,0.04102232186243169
1805,0.06918401135985132,0.008365632366676685,0.008789381878667268,0.003727696636985757,0.0020264250152344384,0.0027417926695605145,0.14460549036582424,0.0026256152139793685,0.005045876726178593,8.903290335565097e-05,0.016261851612950504,0.05134367955099,0.0008989611526847534,0.00011224576569942026,0.00036976195591429734,0.0009578631683133826,0.0012120034521441857,0.007846883802303764,0.0001203966885533373,0.00023345046301741543,0.09535798637074765,0.00014935228863414987,0.0008700752101904191,0.0021777627172471135,8.985801972532423e-05,0.0007474548015083003,0.0015064869729775638,0.019086203943346727,0.004626963015350004,0.007381684454344824,0.0006991636678251956,5.504388606585189e-05,0.003497959899163152,0.058934835742802935,0.004537737038624438,0.0008129120648839439,0.0020000939625441387,0.00010304842891151909,0.23611533326063638,0.05209672370670909,0.0027884726192711953,0.001547454363738418,0.056659150913742254,0.005608218163240322,0.00014458565851666798,8.263585790571948e-05,0.00011587762974085724,0.003121666000182554,0.00014923869567555421,0.003571089817810991,0.009037597399230275,0.006445012500138139,0.02001640690196928,0.00202508433517557,0.0008153050034886369,0.0001083640062966943,0.00014994251698888838,0.009050349051471743,0.0002472363993984663,0.0609115799648942
1806,0.0406475856483497,0.008972000076287042,0.005785335107446588,0.006326410251855289,0.0021463581874824984,0.00013315530286986293,0.17710775015276412,0.00014241264377591847,0.004695967599864385,0.00012148114959658046,0.024580575231614818,0.03947251808800318,0.0004174059268652156,0.00015315399296869626,0.0016150298821906667,0.00028184649676861294,0.001268571912122374,0.035427885794703524,0.00016427553838894947,9.749544678696912e-05,0.12702409669136933,0.004561457304804315,0.0016650105147623967,0.0003359224465512262,0.0005542971941610501,0.00016279051222057333,0.0001550643259830421,0.019338382350280642,0.006149630611270038,0.004456369023602906,0.0010126816678358793,7.510475684289211e-05,0.0007251505878068074,0.08774976576229346,0.01676644137522583,0.004570383796720243,0.0019982432400346135,0.00014060466565137894,0.20969903517641128,0.04833767613983585,0.00018019395822369867,0.0001970627666547209,0.05879695853048964,0.0001579314154520168,0.001407027423400231,0.0003491327080804819,6.8348632025806e-05,0.000132840467371303,0.00020362908129076344,0.00013295123229405806,0.016297978988705046,0.00015131720799895485,0.016350334770902173,0.0011510939159806962,0.002248539845432664,0.00014785751743069447,0.0008656199717700396,0.004026851748287006,9.836236312593575e-05,0.012000644880715351
1807,0.04665806649768489,0.012774966942885851,0.006938945222987738,0.0006385244427453135,0.0002576743419751935,0.0002253655827102566,0.2697349620079525,0.0002410336483649883,0.005976543533733258,0.0002056070579021723,0.006124349518814116,0.05533499012772067,0.00019458545255820507,0.00025921340063734475,0.0002942140042661406,0.000477025688125854,0.01049692205495523,0.0013825174941582373,0.0019218901661068168,0.00016501121399735896,0.05289907511936814,0.006685604077758595,0.0013489524922747729,0.0005685493275957729,0.00020751253040504842,0.00027552322630474893,0.00026244664260119985,0.02471196527846276,0.0029363533168113424,0.001056131936282158,0.00021415352776237503,0.00012711493215371883,0.001258237373312812,0.03731250150340497,0.015670356282624167,0.00043931423031439196,0.0055650247625733855,0.0002379736422309292,0.1976570874694526,0.023742672213238003,0.00030497858906633615,0.0026854827168770663,0.11417284704492438,0.0051988597877897285,0.0003338971407425568,0.00019083411840841127,0.00011568017909882975,0.00022483272307897173,0.0006908368970724836,0.00022502019290422505,0.010915279297208627,0.006124206337322368,0.014750364978274496,0.0045552392586608965,0.0006040886325627294,0.00025024910653710154,0.008432207949526463,0.00523482332318063,0.00044498724684428686,0.03106632619470539
