idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
ub0001,2.4821479298552905e-05,0.004677503649477179,3.031840753511101e-05,1.576158376263398e-05,3.578201065612691e-05,2.2017789691297027e-05,0.0002240003867074704,2.7158482880443215e-05,9.189640982825743e-06,1.9998203050808156e-05,3.83632156928311e-05,0.0006015069845694113,0.042174095836885805,2.754935828689131e-05,2.2623456924582765e-05,2.4659817653798888e-05,0.0008011853400984948,1.6313717684073403e-05,1.2459903000802627e-05,0.0001643576178464505,0.00020228631936049856,1.585848623751357e-05,4.112892238050876e-05,1.9802248354303192e-05,7.121588469522522e-05,0.0001341874320036632,1.2544828181182586e-05,0.2253741907890868,8.88917698972693e-06,2.0206029058764248e-05,0.00011326190083819363,9.393259065565661e-06,0.00011929399037812806,1.6883292744807668e-05,2.0324106371643265e-05,7.711023998302614e-05,8.32605737730408e-06,2.963109726960012e-05,0.22345665247653376,4.081424039767396e-05,0.0004738196156646746,0.0008492351747860072,8.187649951339548e-05,8.281704466565639e-05,1.2069952460660984e-05,0.0323282699112277,0.00013775324442282262,7.41426383427803e-05,6.175469495863967e-05,1.5962180596796717e-05,7.03438592864896e-05,1.9132849484182208e-05,0.05336702400078789,8.662668404567474e-05,0.1878933192669204,1.372683165231633e-05,8.910166610469775e-05,0.061936259980198576,2.15673995716395e-05,7.898385045317769e-05,1.6133714114792784e-05,1.2928979065954988e-05,1.469258533291102e-05,4.147767076496888e-05,3.1533702270812796e-05,0.003574684484359672,0.0009031036281455203,3.499381471821687e-05,0.15843968959494528,2.020296464843681e-05,2.3014659864374425e-05,2.19199705141398e-05,4.8356942221602534e-05,1.6708266619745223e-05,1.2955178144135088e-05,0.00016799802199271712,2.495981786096662e-05,2.2813974764508788e-05,1.322587720922732e-05,0.00010315114730439248
ub0003,3.2303471552443664e-05,0.010654607724814392,3.9457350770505874e-05,2.0512632086653613e-05,4.656785961128512e-05,2.865465971570707e-05,0.055097369566511296,0.09594557937500606,1.1959694363711376e-05,2.6026304700922304e-05,4.99271228715961e-05,0.009917128580474045,0.09599111106326708,3.585362101124066e-05,2.944289453464607e-05,3.209307988804608e-05,0.1106543848884345,2.1231196931634364e-05,1.6215718543257846e-05,0.00021390029049718056,0.00026326192264017746,2.0638744084370722e-05,5.352650251505704e-05,2.5771282955925635e-05,9.268264303120872e-05,0.00017463584020467783,1.632624290465842e-05,0.04668290398659717,1.1568660858542047e-05,2.6296776152487218e-05,0.02298317278844397,1.2224689486050255e-05,0.00015525303621940104,2.1972460236295e-05,2.645044576547433e-05,0.00010035374659716635,1.0835798881956099e-05,3.8562863083346634e-05,0.17206767055064404,0.004620270986776025,0.0006166440884329545,0.010239530015503208,0.0001065567100587287,0.0001077807657729109,1.5708224367394607e-05,0.0009686641212138662,0.00017927650318282594,9.649161436839724e-05,8.036954638487463e-05,2.0773695258914418e-05,9.154776111521668e-05,2.4900105734854376e-05,0.09228933171494356,0.00011273875300071753,0.048142786436343364,1.7864540241629973e-05,0.00011595977426116753,0.16738176735283736,2.8068507526997394e-05,0.00010279212352848928,2.0996934496682158e-05,1.682618922247578e-05,1.912140314542867e-05,5.3980374880231676e-05,4.1038974430013786e-05,8.505534765821338e-05,0.01944394419643732,4.554207606503561e-05,0.03264665550044226,2.629278803031904e-05,2.9952018623697803e-05,2.852735469215973e-05,6.293328002855051e-05,2.1744675607349895e-05,1.6860285545523717e-05,0.00021863802954826035,3.2483509807286834e-05,2.9690840579612154e-05,1.721258201598387e-05,0.00013424422100191398
ub0004,5.896389204229445e-05,0.0027750202068251746,7.202194870387096e-05,3.744193938713851e-05,8.500084092518614e-05,5.230367452125506e-05,0.0005321171417862076,6.451548811147271e-05,2.1830165410422256e-05,4.750610838075558e-05,9.113254215429564e-05,0.04311128067839982,0.0001476249937498632,6.544402000880958e-05,5.374244845279497e-05,5.857986175731416e-05,0.12695039936880995,3.875354392710406e-05,2.9598734489592604e-05,0.05874577991445791,0.0004805349654200875,3.767213304315338e-05,9.770253053377084e-05,4.704061430480127e-05,0.00016917467675307168,0.00031876477461027113,2.9800475856711212e-05,0.060201399027155725,2.1116407530056605e-05,4.799980298087634e-05,0.00026905578080987534,2.2313864004858386e-05,0.0002833851232372174,4.0106580222288786e-05,4.828029786377593e-05,0.00018317682886771555,1.977870627404261e-05,7.038923021003375e-05,0.24738524229577616,9.69549975507303e-05,0.0011255674301088947,0.035363285765547,0.00019449916824217176,0.00019673345098381522,2.867239962960355e-05,0.03511402517489886,0.0003272354292395721,0.000176127235222014,0.0001466994421584834,3.791846094861881e-05,0.0001671031639540009,4.545044466840298e-05,0.0017272031738651947,0.00020578332115559703,0.3129604759536231,3.260834738714053e-05,0.0002116626876985636,0.03042006270117274,5.123376430063615e-05,0.00018762762586343567,3.832594205460371e-05,3.0713033526027585e-05,3.490251346310659e-05,9.853098889613888e-05,7.490890426093426e-05,0.008491730387452653,0.002145339695208311,8.312846661452967e-05,0.0012349642901126991,4.799252341636903e-05,5.467175841176459e-05,5.207130322169673e-05,0.0001148728279388358,3.969080236237031e-05,3.077526993018537e-05,0.0003990824685728981,5.9292517905456606e-05,5.419502717344295e-05,3.1418320662902145e-05,0.025254471192840685
ub0005,4.535289068983272e-05,0.008546561998357599,5.5396675044659984e-05,2.8798984012490185e-05,6.537956897856459e-05,4.023009253760861e-05,0.0004092852376214514,4.962297736421551e-05,1.6790972768379723e-05,3.653997838111357e-05,7.00958515364908e-05,0.033159636048171584,0.0514104833046632,5.033717047771852e-05,4.133674534807276e-05,4.505750850027503e-05,0.014288130153919415,2.9807822731730048e-05,2.2766274805960704e-05,0.08365782836759497,0.00036961009533948883,0.006441092978754713,7.514924870020042e-05,3.6181937193323975e-05,0.0001301230355819518,0.0002451823222303395,2.292144696053939e-05,0.2579045952106121,1.624197605181273e-05,3.6919710390957454e-05,0.000206947964150418,1.716301621260406e-05,0.0002179695754833041,3.084852925685009e-05,3.7135456898228e-05,0.00014089298397379715,1.5213064683544546e-05,5.414084709956518e-05,0.08127378266264272,7.457427339764466e-05,0.0008657457106994973,0.16185461461479894,0.00014960171744129913,0.00015132024682330207,2.205377157403141e-05,0.15525077545602434,0.00025169764305072313,0.0001354706918057037,0.0001128358989549198,2.9165507142843633e-05,0.00012852970294591312,3.4958836288686745e-05,0.001328502139703601,0.00015828107926569912,0.0355301238562253,2.508116006935707e-05,0.00016280327512002566,0.08751918010737345,3.9407156337113926e-05,0.00014431637586055965,2.9478926854769178e-05,2.362335327627219e-05,2.684574954375912e-05,7.578646887424528e-05,5.761721672314995e-05,0.00011941459228820445,0.0016501176112925307,6.393940645705494e-05,0.0009498898141790408,3.691411121352979e-05,4.205153691841026e-05,4.005136094810017e-05,8.835601973161834e-05,3.05287279822224e-05,2.367122326478435e-05,0.0003069597841409884,4.56056578043094e-05,4.168485251222281e-05,2.4165834603669524e-05,0.0130127078447663
ub0006,1.2112236850075038e-05,0.010844807707317586,1.4794594978220071e-05,7.691243272372151e-06,1.7460691316016174e-05,1.0744109182552948e-05,0.00010930636750838049,1.3252633865211016e-05,4.484305984036615e-06,9.758603385955451e-06,1.872025229492168e-05,0.039680134198117584,0.07709109215713847,1.3443370905692109e-05,1.103965905263318e-05,1.2033350168613327e-05,0.09115141694382244,7.960670277467087e-06,6.080108862950832e-06,8.020224626927811e-05,9.871046693688084e-05,7.73852916186257e-06,2.006984528476984e-05,9.662982586429171e-06,3.4751501010114675e-05,6.547997962500423e-05,6.121550143985092e-06,0.019216288879867625,4.337687363705461e-06,9.860017076964462e-06,5.526886421801191e-05,4.583666316893483e-06,5.821236715471259e-05,8.2386081052867e-06,9.917635737117983e-06,3.762779321113989e-05,4.062899626901004e-06,1.4459205430110379e-05,0.3624853408275245,1.99162886549372e-05,0.00023121165906806569,0.00041440469581612233,3.9953603998900925e-05,4.0412565590808866e-05,5.8898231331923475e-06,0.031187509055716024,6.722000341908629e-05,3.6179680731178885e-05,3.0134686291110235e-05,7.78912931443798e-06,3.4325975272391824e-05,9.336333333797778e-06,0.008917105872302341,4.22715706053426e-05,0.15333567080578347,6.698337120610511e-06,4.347929753160686e-05,0.002823901357964412,1.0524330508662882e-05,3.854206643016513e-05,7.872833213496735e-06,6.309005792641798e-06,7.169599819239297e-06,2.0240025433295802e-05,1.5387627226798732e-05,3.18916347591076e-05,0.027840075046400143,1.7076072181539775e-05,0.14238798794453522,9.85852172436096e-06,1.1230555920874163e-05,1.069637596617382e-05,0.029135442372957107,8.153199904743602e-06,6.321790261945749e-06,0.0017944401654658485,1.2179742473462745e-05,1.1132626807439126e-05,6.45388437092507e-06,5.0335079246490384e-05
ub0007,4.594206244336298e-05,0.008657588943776898,5.6116323906714224e-05,2.9173106756431013e-05,6.622890393195468e-05,4.075271488437737e-05,0.00041460219311151335,5.0267621093520756e-05,1.700910146357319e-05,3.701466307726646e-05,7.100645492112157e-05,0.15700330497473766,0.00011502288003974463,5.099109216930229e-05,4.187374403484925e-05,4.564284299360122e-05,0.07293248585272542,3.0195051129317273e-05,2.306202764210323e-05,0.00030420942488243387,0.0003744116377479525,2.9352463494129327e-05,7.612549991505637e-05,3.665197063679512e-05,0.00013181344199006393,0.006743783112188927,2.321921561197001e-05,0.033915441935909375,1.6452972823257515e-05,3.739932812160292e-05,0.00020963639024792701,1.7385978061430928e-05,0.00022080118147468442,3.1249277297374934e-05,3.7617877355360653e-05,0.00014272330096496002,1.541069504094495e-05,5.484418171259825e-05,0.11480667500403367,7.554305520532302e-05,0.0008769924672066511,0.07302142126544016,0.00015154516812008434,0.11057535237461613,2.2340268400861913e-05,0.033854714407166746,0.000254967404679145,0.00013723056871385892,0.00011430173108683583,2.954439132695145e-05,0.00013019941063848898,3.541298063459941e-05,0.00784117615469342,0.00016033728207004517,0.035991689702571945,2.540698518951747e-05,0.0001649182250079815,0.3095002597187494,3.991908805850216e-05,0.00014619116555831887,2.986188262149185e-05,2.393024027426384e-05,2.719449814815792e-05,7.677099810890585e-05,5.836571226762296e-05,0.00012096588711562136,0.0016715540108646165,6.477003250203232e-05,0.007457645340306416,0.019523640659498333,4.259782134191706e-05,4.05716614229353e-05,8.950383788143039e-05,3.092532153832767e-05,2.397873213372279e-05,0.0003109474469235541,4.619811321279099e-05,4.222637340045545e-05,2.4479768885088066e-05,0.00019092240206808363
ub0008,1.0733663004182038e-05,0.015680708037174244,1.3110724199435907e-05,6.815851967781946e-06,1.5473374466336028e-05,9.521251002034908e-06,9.686548633161516e-05,1.1744263886823205e-05,3.973917438708918e-06,8.647912143137018e-06,1.6589576473292777e-05,0.003295222186232741,0.05921151518459467,1.1913291882252996e-05,9.783162385178916e-06,1.0663754938082506e-05,0.03221511344911058,7.054613702109918e-06,5.3880914294745115e-06,7.10738977687275e-05,8.747557533762793e-05,6.857755937207709e-06,1.7785563352111688e-05,8.563174579711714e-06,3.079620266257852e-05,5.8027269736815564e-05,5.424816004017536e-06,0.11111756082918617,3.843986454015287e-06,8.737783270722689e-06,0.001566533267959432,4.061968914424762e-06,5.1586832345548886e-05,7.300917586095771e-06,8.788843969790555e-06,3.334512501024303e-05,3.6004741283359352e-06,1.2813507555714806e-05,0.2802545021117389,1.7649484018700103e-05,0.00020489592977692404,0.042858776286430665,3.540621987788205e-05,0.10626465727391048,5.219463378106794e-06,0.00032186368033144887,5.956924990580635e-05,3.206183179657411e-05,2.6704858185093837e-05,6.902596951499902e-06,0.015205968298810919,8.273703440589168e-06,0.007902191031321606,3.746036336239775e-05,0.15105907238407454,5.93595503712354e-06,3.853063089333005e-05,0.13301221748709735,9.326486793718808e-06,3.415533874270523e-05,6.976773955776961e-06,5.590936084545764e-06,6.353580208768979e-06,1.7936374171524293e-05,1.3636259522567915e-05,2.826183671883847e-05,0.0003905331300271569,1.5132531381319546e-05,0.0002248103042919959,8.736458114096619e-06,9.952332017313364e-06,9.478950618954463e-06,2.091120821109337e-05,7.2252302581669495e-06,5.602265468778789e-06,0.03042374651394163,1.0793485365757336e-05,0.0015274204678629964,5.719325072894189e-06,0.006114825786707471
ub0009,6.374669853355582e-05,0.1111523251133036,7.78639484742912e-05,4.047901079717653e-05,9.189561261780178e-05,5.654624307215133e-05,0.0005752793760230693,6.974860764681673e-05,2.3600900909961278e-05,5.135952639079918e-05,9.852468163294592e-05,0.0015447944882724994,0.00015959947090738894,7.075245662774675e-05,5.810172194057516e-05,6.333151795512938e-05,0.029095662721273962,4.1897005035827775e-05,3.1999610933576355e-05,0.0004221043955733082,0.11768440892187702,4.072787641791594e-05,0.00010562758909188631,5.085627415453684e-05,0.00018289713831567096,0.1535602540372457,3.2217716381945207e-05,0.00199579482785128,2.2829247159679965e-05,5.189326661301804e-05,0.0002908800140888764,2.412383430890494e-05,0.0003063716690706177,4.335979173166245e-05,5.219651360233786e-05,0.0001980350632177948,2.1383039391815576e-05,7.609879339358274e-05,0.006083843673193896,0.00010481942059989474,0.0012168668851587027,0.01119369606671182,0.00021027580462408383,0.00021269131933040791,3.0998137200830074e-05,0.0019115326232056614,0.00035377885574905496,0.0001904136477149941,0.00015859884397742606,4.0994185004174856e-05,0.00018065759649885782,4.913711924603819e-05,0.0649560938344726,0.0002224752621066852,0.1310542629733584,3.5253346049044545e-05,0.00022883152851993222,0.2672173520260901,5.538954798420086e-05,0.0002028468828669576,4.143471859722036e-05,3.320429539878941e-05,3.773360147596952e-05,0.00010652324715725954,8.098507700230427e-05,0.00016784566318305666,0.08343351572747468,8.987136224033723e-05,0.010347821669189542,5.188539657276068e-05,5.9106412094952603e-05,5.629502317014469e-05,0.00012419064072401154,4.291028840046887e-05,3.327158005650525e-05,0.0004314537072263768,6.410198060710519e-05,5.859101120335238e-05,3.396679130834857e-05,0.0002649135054165314
ub0010,3.7631390619544976e-05,0.07625706683662561,4.596518294471009e-05,2.389584876147717e-05,5.4248451671933e-05,3.338076810355514e-05,0.010980462754855258,4.1174478991176295e-05,1.3932246556241955e-05,3.0318909749178887e-05,5.816176940118757e-05,0.00091193373386234,9.421586012375476e-05,4.176707804325933e-05,3.4299009114378514e-05,3.738629835776785e-05,0.0012146624352746445,2.473292889768e-05,1.8890230967506453e-05,0.00024917957725582705,0.26632817926216723,2.404276083067069e-05,6.235480670775751e-05,3.0021826419083312e-05,0.00010796909978845363,0.00020343911050691804,1.9018984479651066e-05,0.0490620407654357,1.3476718593729711e-05,3.063399095736267e-05,0.00017171429556991474,1.4240948205995578e-05,0.010821719303135842,2.559645122605677e-05,3.0813005811022715e-05,0.0001169054239945032,1.2622983252426082e-05,4.4923164426507935e-05,0.06211618581439113,6.187772311114528e-05,0.0007183492500916157,0.0012875099105029142,0.00012413146286286003,0.00012555740615956412,1.8299034088308828e-05,0.0011284291183799955,0.07469486424233572,0.00011240629744430589,9.362516313501506e-05,2.419996995154105e-05,0.00010664703802124014,2.9006963039716827e-05,0.14475392786231206,0.00013133313072072794,0.08800571602044803,2.08109983157678e-05,0.00013508540573702358,0.10986172034267527,3.269793988368332e-05,0.00011974597054787696,2.4460028779720207e-05,1.9601388607456487e-05,2.227515980105208e-05,6.288353775257961e-05,4.780766905792642e-05,9.90838092064226e-05,0.0013691788870397305,5.305348223165631e-05,0.0965559063065734,3.062934506093307e-05,3.489210473377105e-05,3.323246623881089e-05,7.331307534172564e-05,2.53310973202066e-05,1.9641108550535172e-05,0.0002546987273755041,3.784112318291562e-05,3.458784972568996e-05,2.005151045028921e-05,0.00015638556712823003
ub0011,4.137351358145649e-05,0.0311946715257844,5.05360309445851e-05,2.6272088461166745e-05,5.9643000566021715e-05,3.670020267001729e-05,0.0003733735177594084,4.526893207252476e-05,1.5317690434099798e-05,3.3333868444157266e-05,6.394546458752872e-05,0.0010026178172577473,0.00010358482916106238,4.59204600794909e-05,3.7709754969490896e-05,4.110404897081095e-05,0.001335450323130476,0.005876694021698978,2.0768704388114055e-05,0.0002739583750184623,0.0003371795726088076,2.6433609690916384e-05,6.855546392836687e-05,3.300724269394781e-05,0.00011870571198490647,0.2283542322967889,2.0910261346166213e-05,0.03054283858688975,1.4816864075215655e-05,3.368028180894222e-05,0.00018878982740016544,1.5657089847420064e-05,0.00019884437473407824,2.814180143234775e-05,3.387709817307997e-05,0.00012853067791947025,1.387823198756568e-05,0.13458792748172216,0.03319610453344552,6.803093841020348e-05,0.0007897829967372572,0.03651255153800946,0.00013647528513004766,0.00013804302640618138,2.011871798824677e-05,0.08898316602210432,0.00022961305651712782,0.0001235841513530934,0.00010293539236152369,2.660645192688947e-05,0.00011725218237622593,3.189145975002083e-05,0.001211936008576032,0.00014439309783962853,0.12600464690553473,2.2880475775292998e-05,0.00014851850481482117,0.2436260714819148,3.59494729690002e-05,0.02937916175563228,2.68923714021602e-05,2.1550580630012693e-05,2.4490235715054345e-05,6.913677279587715e-05,5.256173669113833e-05,0.00010893685453588314,0.0015053321268696368,5.8329201539391136e-05,0.0008665440841819179,3.367517391747545e-05,3.836182892317824e-05,3.653715344132456e-05,8.060343953310711e-05,2.7850060328794622e-05,2.159425038489991e-05,0.0002800263578560658,4.160410227127711e-05,3.802731833237027e-05,2.2045463276419e-05,0.0001719367867889288
