receiver_norm,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
AbekenBernhardRudolf,0.00010095240964866324,0.057993893932008066,0.0001233091815586545,6.410455402671789e-05,0.00014553041558730762,8.954941394663445e-05,0.011559593997510604,0.00011045732835683784,3.7375548405628445e-05,8.133547410045102e-05,0.014653537411894806,0.031441430344805885,0.00025274957821182556,0.00011204707301623999,9.201274684915806e-05,0.0001002949092479262,0.0032585322448063034,6.635015950202593e-05,5.0676159014945106e-05,0.0006684652983869759,0.0008227266043564107,6.449866987381747e-05,0.09600425639161245,8.053849908714868e-05,0.0002896449111179077,0.12832839807792804,5.102156153894794e-05,0.024457745450347193,3.615351954299927e-05,8.218073138904682e-05,0.0004606519085133739,3.8203691476933384e-05,0.00048518525589965884,6.866670051738195e-05,8.26609682482847e-05,0.00031361807413819286,3.386323373405385e-05,0.00012051379508530958,0.10024410478733206,0.0001659971940659159,0.22936454151194963,0.0034539576075165402,0.00033300311476426646,0.00033682844275386955,4.909017591548529e-05,0.032022214907508714,0.06445158117171038,0.0003015484253933815,0.0002511649361509365,6.492040925972173e-05,0.00028609826245817806,7.78159607508157e-05,0.0029571542229512126,0.000352322776136639,0.043966727305958075,5.582893410481239e-05,0.0003623888725078634,0.09195050905367685,8.771761466849763e-05,0.032940633280282336,6.561805994237972e-05,5.258395663313158e-05,5.9756788686339424e-05,0.00016869545767087454,0.00012825195432923566,0.00026580865420799894,0.007297425320970467,0.00014232471304838015,0.012987520931729378,8.216826800590244e-05,9.360382363223726e-05,8.915156974383357e-05,0.00019667441177837315,6.795484491586861e-05,5.269051192909289e-05,0.000683271328528863,0.00010151505182864848,9.278760941033962e-05,5.379148268840998e-05,0.0004195300672111727
AbekenBernhardRudolfANDTruchsessvonWetzhausenChristianFreiherrANDVoßHeinrichANDVoßAbrahamSophus,0.00019671951410039023,0.00925821901840946,0.00024028472787084701,0.00012491645086675892,0.00028358582762706843,0.00017449922454416524,0.0017752869078178633,0.0002152411422253964,7.283134446398233e-05,0.00015849324448866654,0.00030404284368587884,0.00476716799628393,0.0004925169630714931,0.00021833897612584166,0.00017929936406870374,0.0001954382850558935,0.03416244189277637,0.00012929231885744062,9.874939501284223e-05,0.0013025956403547776,0.0016031947965355002,0.0001256844392506966,0.00032596210438747084,0.00015694023017318243,0.0005644125422569348,0.001063485624874854,9.942245885477882e-05,0.006158935251718292,7.045005485524786e-05,0.00016014034339082312,0.0008976429579793418,7.444509398377764e-05,0.0009454495253894932,0.00013380641440523808,0.00016107615029163074,0.084049372082604,6.598712115158737e-05,0.0002348375367570042,0.2412764600970335,0.00032346813188829666,0.22625718332027345,0.00673050662820902,0.0006489019049503232,0.0006563560773272708,9.565889102405212e-05,0.005898905786095251,0.001091746022977358,0.0005876081603953004,0.00048942907227893,0.00012650625586072914,0.0005575014144943092,0.00015163499357202518,0.005762417597394939,0.0006865488953588137,0.015049229463333237,0.00010879027878644424,0.0007061640545603273,0.01805132381326937,0.0001709297142652267,0.0006259765784319247,0.00012786572319570328,0.00010246699840396144,0.00011644423818596832,0.0003287260658705517,0.00024991639353510726,0.0005179643505435494,0.034970182473480736,0.0002773390797980378,0.1431839163067188,0.00016011605679197184,0.00018239979379349242,0.00017372397095155638,0.0003832468670700416,0.000132419266851983,0.0001026746359048322,0.1403951881532124,0.0001978158989875295,0.00018080928926078883,0.0001048200273181264,0.0008175114517772066
AbekenMinonaLaura,2.875731607493389e-05,0.0013534068128467224,3.512586892541393e-05,1.826083130065645e-05,4.145581243801552e-05,2.5509057288981314e-05,0.000259519178690921,0.0772814514535239,1.0646803406825675e-05,2.316923335412669e-05,4.44463082179766e-05,0.000696885397863914,0.008203575809721536,3.191774327342048e-05,2.6210762608568937e-05,2.8570020428309962e-05,0.0578492686361607,1.8900514758018e-05,1.4435617013285266e-05,0.00019041910874381798,0.0002343620037111979,1.8373099190295017e-05,0.004113439327878692,2.2942206951873168e-05,8.250828571107911e-05,0.00015546496439630076,1.4534008419596399e-05,0.0009003400020006664,1.0298696111738592e-05,0.04881287521247046,0.004197010127023407,1.0882708345991214e-05,0.00013820993285214688,1.9560404922215013e-05,2.354681378333473e-05,8.933728393598069e-05,9.646285008932874e-06,3.4329574783992825e-05,0.06779715479789505,4.728598152257077e-05,0.0005489511840241983,0.0009838947973055227,9.4859309040181e-05,0.02042489282537573,1.3983833668643994e-05,0.013059694060997756,0.00015959619257848522,8.589912228064305e-05,7.15468752154616e-05,1.8493235924662294e-05,8.149798692901396e-05,2.2166664339898588e-05,0.08215815065456289,0.00010036271020197156,0.2217525553583855,1.5903437171695142e-05,0.0001032301396768645,0.2587835134959043,2.498725071684949e-05,9.150798487782967e-05,1.869196878563025e-05,1.4979072482096073e-05,1.702232632045798e-05,4.805460923152128e-05,3.6533867796811465e-05,7.571828657795143e-05,0.057967347675203125,4.05426356106868e-05,0.06972071422588431,2.3406463130490554e-05,2.666399694056493e-05,2.5395727339470028e-05,5.6024697607971055e-05,1.93576256462802e-05,1.5009425837068796e-05,0.0001946367563471497,2.891759039689645e-05,2.643149005493777e-05,1.5323048505662132e-05,0.00011950738756724375
AhlefeldtJohannGeorgJacobvon,0.00021462767013202,0.010101031341909143,0.00026215879775357795,0.0001362880898384662,0.00030940176801675805,0.0001903845796642504,0.06262620379545521,0.00023483539537829672,7.946147003448756e-05,0.00017292151188878741,0.00033172106722118363,0.005201142168581232,0.21294992195864426,0.00023821523736067003,0.00019562169488981248,0.0002132298057361905,0.006927731454720146,0.0001410623104130759,0.00010773894331467746,0.0014211760774825838,0.0017491399646940749,0.00013712599124487618,0.0003556357249861383,0.00017122712053296122,0.000615793250058947,0.0011602989308386687,0.00010847327882229383,0.03706426025293018,7.686340220695397e-05,0.00017471855272362024,0.0009793589495305623,8.122212556067793e-05,0.0010315175380019325,0.00014598734194646342,0.00017573954983075678,0.0006667608707689994,7.199418998288606e-05,0.00025621572727135166,0.05082824206290452,0.0003529147162986225,0.004097048324548774,0.007343211287536186,0.0007079740138674993,0.0007161067690613243,0.00010436709851483096,0.0064359065290889896,0.09222509022495216,0.0006411004571302742,0.000533983738006266,0.0001380226210738675,0.0006082529749801865,0.0001654389272446003,0.0062869932803182645,0.0007490481588287018,0.2895210951101749,0.00011869388848241936,0.0007704489636138393,0.17141787100498235,0.0001864901227356413,0.0006829617041321838,0.0001395058461014424,0.0001117949748576571,0.0001270446181022912,0.00035865130082344724,0.0002726672720677012,0.0005651166956007965,0.007809003857717195,0.000302586354006723,0.004495251230922957,0.00017469205521954335,0.00019900436900469387,0.00018953875166846648,0.00041813534636254887,0.00014447391686077252,0.00011202151442211124,0.0014526541151472325,0.0002158238632751901,0.0001972690745487795,0.00011436220930773191,0.0008919327551391047
ArnimLudwigAchimvon,4.186327213720492e-05,0.0611576632887131,5.113425070853986e-05,2.658308404716897e-05,6.034902399234273e-05,3.7134640954306456e-05,0.00037779332306437817,4.580480260593894e-05,1.5499013442348453e-05,3.372845778051075e-05,6.470241838893579e-05,0.2200080523970586,0.00010481101354657488,4.646404306921104e-05,3.815614381908966e-05,4.1590617741909465e-05,0.001351258703055533,2.7514298997389447e-05,2.1014553719857728e-05,0.00027720135455946906,0.00034117093244784183,2.6746517282870168e-05,6.936698855114555e-05,3.339796560123001e-05,0.00012011088967053754,0.0357387872693644,2.115778635699369e-05,0.0013106639862201456,1.4992258556419467e-05,3.407897181005784e-05,0.00019102462510535572,1.5842430492850113e-05,0.00020119819304338692,2.84749297270605e-05,3.427811798594962e-05,0.0001300521585416869,1.404251542076238e-05,4.997505079375258e-05,0.06318278823970723,6.883625396737494e-05,0.2493864232952977,0.031026023474122456,0.0060568358397275115,0.00013967710935905236,2.0356873112443188e-05,0.001255327918861245,0.0653385264262212,0.00012504707751625146,0.011941643948578108,2.692140553709345e-05,0.00011864015391956298,3.2268974587795696e-05,0.05449498755692763,0.00014610234969997032,0.03279630518447208,2.3151323179840412e-05,0.00015027659113922326,0.1281350920859977,3.637502449791618e-05,0.0001332121420401581,2.7210709581310527e-05,2.1805685413997625e-05,2.478013863688692e-05,6.995517865659648e-05,5.318393572673145e-05,0.00011022639346856841,0.03111687662978958,5.901967288279418e-05,0.0008768017911645683,3.407380345397661e-05,3.881593669172185e-05,3.696966163198986e-05,8.155758194734442e-05,2.817973514109411e-05,2.1849872109174225e-05,0.0002833411670835942,4.2096590418349124e-05,3.847746633512039e-05,2.23064262288114e-05,0.0001739720867934108
BarthKarl,6.374669853355582e-05,0.2914060109087731,7.78639484742912e-05,4.047901079717653e-05,9.189561261780178e-05,5.654624307215133e-05,0.0005752793760230693,6.974860764681673e-05,2.3600900909961278e-05,5.135952639079918e-05,9.852468163294592e-05,0.0015447944882724994,0.00015959947090738894,7.075245662774675e-05,5.810172194057516e-05,6.333151795512938e-05,0.0020576098519535326,4.1897005035827775e-05,3.1999610933576355e-05,0.06351089442398762,0.0005195131548218437,4.072787641791594e-05,0.14430857622546747,5.085627415453684e-05,0.00018289713831567096,0.0003446211110966397,3.2217716381945207e-05,0.011008479117624757,2.2829247159679965e-05,5.189326661301804e-05,0.0002908800140888764,2.412383430890494e-05,0.0003063716690706177,4.335979173166245e-05,5.219651360233786e-05,0.0001980350632177948,2.1383039391815576e-05,7.609879339358274e-05,0.0781853179913817,0.00010481942059989474,0.06430565691357303,0.002181011776938344,0.00021027580462408383,0.00021269131933040791,3.0998137200830074e-05,0.046974954072073034,0.00035377885574905496,0.0001904136477149941,0.00015859884397742606,4.0994185004174856e-05,0.1804343433919684,4.913711924603819e-05,0.0018673038060582695,0.0002224752621066852,0.013889367206303243,3.5253346049044545e-05,0.00022883152851993222,0.04190024478175327,5.538954798420086e-05,0.0002028468828669576,4.143471859722036e-05,3.320429539878941e-05,3.773360147596952e-05,0.00010652324715725954,8.098507700230427e-05,0.00016784566318305666,0.029357409988833818,8.987136224033723e-05,0.019360505958963017,5.188539657276068e-05,5.9106412094952603e-05,5.629502317014469e-05,0.00012419064072401154,4.291028840046887e-05,3.327158005650525e-05,0.0004314537072263768,6.410198060710519e-05,5.859101120335238e-05,3.396679130834857e-05,0.0002649135054165314
BentzelSternauChristianErnstGrafvon,0.00010889118442159884,0.3438221509240783,0.00013300606569679506,6.914565822728845e-05,0.00015697475055642988,9.659147099950564e-05,0.0009826838733537793,0.00011914355838242041,4.031471609701764e-05,8.773159690901609e-05,0.00016829842995123948,0.0026387955044825297,0.0002726254977897862,0.00012085831862927998,9.924851740695655e-05,0.00010818197898863196,0.003514779259334185,7.156785538732582e-05,5.466127055589035e-05,0.0007210325968386546,0.0008874248243832383,6.957076686550076e-05,0.0001804315132925501,8.687194874950274e-05,0.00031242223482414247,0.000588676775852901,5.5033835114495474e-05,0.003409187733115759,3.899658837017905e-05,8.864332420325808e-05,0.0004968770146117606,4.120798333272575e-05,0.0005233396346127729,7.406656637204839e-05,8.916132630531107e-05,0.0003382806182415956,3.652619726938229e-05,0.015525327234885531,0.11815968805607364,0.00017905101161435163,0.0020786343364684627,0.20386494559393106,0.00035919007489726364,0.031153988984942062,5.295056767347427e-05,0.034055925022083385,0.0006043199022386094,0.0003252618269918457,0.0002709162414035837,7.002567132402908e-05,0.00030859668202526137,8.393531330802833e-05,0.0031897012362077305,0.0003800290109541973,0.14688830635021632,6.021925361490283e-05,0.0003908866929073005,0.009992043948429084,9.461562125294548e-05,0.00034650009866762346,7.077818440827884e-05,5.671909505957502e-05,6.445598990586215e-05,0.00018196146338908566,0.00013833753210942004,0.0002867115236471572,0.003961892139520553,0.00015351695546682293,0.06386200780253276,8.862988071481425e-05,0.00010096471453407976,9.6162340812232e-05,0.00021214064843524892,7.329873131139254e-05,5.6834029734477784e-05,0.0007370029551920901,0.00010949807209864753,0.00010008431421799507,5.802157949592296e-05,0.000452521401698929
BergnerCaroline,0.00016091549660541784,0.007573172991210265,0.00019655160541065167,0.00010218097994667071,0.0002319716703833481,0.00014273942014951817,0.0014521750711666758,0.0001760660880518529,5.9575645133411364e-05,0.0001296466151928498,0.0002487053986726962,0.003899517589963189,0.0004028762070792668,0.00017860009939674098,0.00014666590827093666,0.00015986745818938523,0.05069536967345329,0.00010576041625231838,8.077647004489301e-05,0.00106551617566915,0.0013114046566223196,0.00010280919028337105,0.000266635235156637,0.00012837625789782357,0.00046168640128529503,0.0008699254786290709,8.132703262058698e-05,0.005037975663589225,5.762776313653293e-05,0.00013099393316997487,0.0007342670757304169,6.089568349646924e-05,0.0007733725888310598,0.00010945292195069788,0.00013175941814414668,0.0004998989951801541,5.3977107549435966e-05,0.0001920958325952445,0.2656148689431031,0.0002645951791659534,0.18507714997681887,0.18751093647289327,0.0005307982421611511,0.000536895714774909,7.824845452802164e-05,0.07307730491483673,0.0008930423311473754,0.00048066029123654806,0.0004003503291427495,0.00010348143181734762,0.0004560331362235542,0.00012403660310460966,0.050214981000993184,0.0005615932763243105,0.10331289741665256,8.898985856496582e-05,0.02332831568531674,0.01476588506778791,0.00013981958008281068,0.0005120454492904507,0.00010459346873105493,8.381744947491867e-05,9.525075588064132e-05,0.00026889614067321545,0.0002044302557346396,0.00042369203214422037,0.005854742461609183,0.00022686186450733168,0.003370281118670017,0.00013097406686371195,0.00014920204298607206,0.0001421052669114915,0.0003134938606323244,0.00010831824276842258,8.398729582554294e-05,0.001089116599882185,0.00016181233350231385,0.00014790101889650183,8.574221437677042e-05,0.0006687199378512716
BertuchFriedrichJohannJustin,0.00017971541802688665,0.32073047443511987,0.00021951492973263861,0.00011411888794366481,0.0002590731569847758,0.00015941581203946257,0.0016218341643184926,0.00019663606850859404,6.65359284545874e-05,0.00014479336133975209,0.00027776190379977505,0.004355102203126389,0.0004499446448335372,0.0001994661309807507,0.00016380103576871382,0.00017854493621488705,0.011758033252938496,0.00011811651343990571,9.021366734150494e-05,0.0011900015161022323,0.0014646173988152166,0.00011482049273407072,0.01221217878136986,0.00014337458690761044,0.0005156256939489952,0.0009715597586441478,9.082855270387266e-05,0.005626567493442613,6.436047341936195e-05,0.00014629808784889564,0.0008200522463156515,6.80101882445577e-05,0.0008637264963555404,0.00012224041834123508,0.00014715300521253482,0.0005583027041225142,6.028330802045639e-05,0.00021453858443932407,0.03502322974562539,0.03637568352261426,0.043744915220323775,0.006148733224320811,0.0005928119416108252,0.0005996217881626214,8.739030119606127e-05,0.041132191367155506,0.0009973773765953892,0.0005368163227953082,0.0004471236660041382,0.00011557127293139306,0.0005093119521701108,0.00013852792582333203,0.036630182408322255,0.0006272047909916108,0.019705596121342848,9.938663441080849e-05,0.0006451244496064903,0.10453446970564433,0.00015615484408280453,0.0005718682408422563,0.00011681323025075734,9.360992749672377e-05,0.00010637899873895705,0.0837516885997552,0.0002283140508013517,0.1681171807717801,0.04403031168409169,0.00025336636728200194,0.003764034495665301,0.0001462759005418307,0.00016663346968662717,0.00015870757003251328,0.000350119667781604,0.00012097317343399631,9.379961716954393e-05,0.001216359201922,0.00018071703329221325,0.0001651804456270893,9.575956464315705e-05,0.0007468471695336312
BodeAugustTheodorHeinrich,0.0033121463217203636,0.10869446260188466,0.004478750291535812,0.01134525099583573,0.0001400244159541178,8.616140025648779e-05,0.0008765724101878941,0.00010627828436138513,3.596148142189061e-05,7.825822671711116e-05,0.00015012534994566373,0.03948823904116327,0.0027726452845766394,0.00010780788260069901,8.853153538998847e-05,9.650035034900934e-05,0.029342933543375613,6.383986670580235e-05,4.875887655669249e-05,0.0006431745736071051,0.002090835485692094,6.2058426360231e-05,0.00016094828740896558,7.749140446681165e-05,0.00027868648178934073,0.02744336105290824,4.909121111711681e-05,0.006340631482564023,3.4785686815119426e-05,7.90715045304737e-05,0.0019476998348031173,3.675829251748151e-05,0.0011812761610382888,6.606876367830076e-05,7.953357210214284e-05,0.0003017526438486006,0.00392104859304768,0.00011595427459705847,0.14898544900591695,0.0001597168540699846,0.012976218448378846,0.034466248297127126,0.000320404270595893,0.00564815296524056,4.723289756241324e-05,0.02365781818471361,0.2915840275728915,0.0014247416830142153,0.00024166235869497118,0.0005692125020068859,0.0034902873639303766,7.48718706812504e-05,0.009470921066248536,0.0038767467194787014,0.03021956548576916,5.371670148689575e-05,0.0003486782471994149,0.12645923592704356,8.439890529602775e-05,0.0008158328666057086,6.313546541040284e-05,5.059449453501782e-05,5.749594956717812e-05,0.0007730499224009484,0.00012339966822366203,0.008609633629809073,0.010010907004050027,0.0001369399980066774,0.01952999723745539,7.905951268712907e-05,9.006241535339491e-05,8.577860809642207e-05,0.00018923342952913402,0.004612709596721802,0.0025801552556056167,0.0014096585505015676,9.767433003948778e-05,8.927708179096783e-05,5.1756335033839874e-05,0.010160865427798567
