year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.00015805181509855377,0.17318386433654834,0.00019305373721627186,0.00010036254860351644,0.0032064415302622312,0.0001401992034121271,0.0014263318989194047,0.0001729327838581845,5.8515426094058126e-05,0.00903627013674495,0.00024427939206761034,0.005995896385851441,0.00039570654866782456,0.00017542169947531723,0.00014405581503527525,0.00015702242776519367,0.12315679372383544,0.00010387828460826259,7.933895726124522e-05,0.0842173086383932,0.006432440052000242,0.00010097957919456402,0.00026189014591350006,0.0001260916506137664,0.0004534701459387184,0.04748250008800447,0.0029058225074856062,0.028979133981741335,5.660220896022699e-05,0.00012866274125966377,0.0007211999250194795,5.981197281381014e-05,0.0007596095092814139,0.00010750507780221895,0.00012941460352371405,0.0004910027015478035,5.3016521105344993e-05,0.00018867726014601936,0.12850390705036685,0.0002598863951310577,0.0030170663635453415,0.026284248476657206,0.0005213520598976732,0.0005273410207774404,7.685593076928102e-05,0.006152372925217632,0.011323369044889299,0.0004721063730861214,0.0003932256217154448,0.00010163985739567583,0.000447917487412409,0.0001218292251082201,0.007455684602426511,0.0005515990600200061,0.13539495578746005,8.740617882220101e-05,0.004636892094249011,0.13087065297049288,0.00013733132535143164,0.0005029329951468788,0.0001027321042977813,8.232581886706985e-05,9.355565606810388e-05,0.0002641108159434213,0.0002007921776430914,0.00041615193151592453,0.03883842573683195,0.004040937762137332,0.003310302981597646,0.00012864322849780806,0.00014654681623477132,0.0001395763356807084,0.0003079148667495314,0.00010639059157748378,8.249264260108132e-05,0.0010697344823627699,0.0001589326917225706,0.00014526894540703032,8.42163303019108e-05,0.0006568192759529849
1799,2.464848003251981e-05,0.12313048876369742,3.010709610649796e-05,1.56517296161644e-05,3.5532619332336654e-05,2.1864331413873263e-05,0.00022243916217184082,2.6969195306226682e-05,9.125591571184545e-06,1.9858820767900766e-05,3.8095834040122116e-05,0.007567054995897325,6.171118602778673e-05,2.735734641257917e-05,2.246577730379915e-05,2.448794512745571e-05,0.0007956012862987037,1.620001530752809e-05,1.237306071199077e-05,0.0001632120879240642,0.0002008764362364117,1.5747956705953954e-05,4.084226447027796e-05,1.966423182475254e-05,7.071952846947479e-05,0.00013325218044317894,1.2457393985913555e-05,0.0007716997130040162,8.827221734104809e-06,0.17077870398972506,0.00011247249479680341,9.327790488755395e-06,0.0001184625422388232,1.6765620577974167e-05,2.0182452627207583e-05,7.657280163133702e-05,8.268026919171512e-06,2.9424576215083648e-05,0.009322136682869192,4.052977573915912e-05,0.056228440086641684,0.004328186405531353,8.130584157029687e-05,0.09068886449621408,1.1985828025866705e-05,0.007708859007775763,0.0001367931400756085,7.362588340401216e-05,6.132428076883894e-05,1.5850928342476214e-05,6.985358085142438e-05,1.8999498490952803e-05,0.007691757367355194,8.602291854972959e-05,0.001885632107359105,1.3631159199750254e-05,8.848065062640846e-05,0.2636270507355366,2.1417080396409936e-05,7.843335352297804e-05,1.6021266316389014e-05,1.2838867438760474e-05,1.4590181827940612e-05,0.0279201500175066,3.1313920553432456e-05,6.489968222173664e-05,0.0008968092303402248,3.474991691546574e-05,0.004001118201577661,2.0062155230358497e-05,2.2854253660672845e-05,2.1767194010982945e-05,4.801990688977082e-05,1.6591814339559423e-05,1.286488391616802e-05,0.00016682711939863012,2.478585441107189e-05,2.265496728384717e-05,1.3133696279061184e-05,0.2196492535138732
1800,8.599745954603589e-05,0.18107080529012226,0.0005518060467463727,5.460819420571742e-05,0.0007238591583003985,7.62836878292275e-05,0.009373381744393512,0.004264104526322656,3.1838786446109356e-05,0.000483543807622834,0.00013291468449233129,0.021524362130681134,0.018736981204201985,9.54485748532444e-05,0.0005075077864040007,8.54373603437418e-05,0.020139899175220223,5.652113879704762e-05,4.316906302685693e-05,0.006730868709549189,0.002193392440410562,0.00033373161923886915,0.0001424968591133107,0.005578693474336362,0.0014326522274822299,0.0032946917114122553,4.346329809948578e-05,0.07649516526169592,0.00037874987368888643,7.000659169691029e-05,0.0013852711428828518,3.254424955016731e-05,0.0004133105842819916,5.849451063579945e-05,7.041568693315632e-05,0.0010827331947198349,2.884678120390775e-05,0.017654840298488635,0.09002271536600338,0.0008075625554330215,0.01176645173977564,0.023584977607192605,0.00028367249469634775,0.009041286396821821,4.181802526647894e-05,0.03296839375963745,0.005670759033205757,0.0010405891368021308,0.00021395771048154325,0.011684599169998207,0.00024371606222738755,6.628841213393268e-05,0.025659288781890378,0.012983872128506966,0.1305944951819628,0.0019416452992261394,0.0006045666716668428,0.13825049516658877,0.0036250622647630098,0.0010182567047885389,0.00035175907611895054,4.4794242149009643e-05,5.0904500799328235e-05,0.00014370514628764134,0.0016628851167398951,0.0011848498385648406,0.014223539027603182,0.00012124092723864277,0.022252799920390545,6.999597462207778e-05,0.005895221412829279,7.594477971544331e-05,0.00016753933689660084,0.00020680934717263276,4.48850124910524e-05,0.0027058551101824422,8.647675269298077e-05,7.904218150323984e-05,4.582288696740467e-05,0.07301262140498958
1801,0.000979269121623652,0.06600272637786449,0.007638493107992308,0.00042051443414984295,0.00038972949305444814,0.0012814256254634754,0.005687310685207195,8.552178089546182e-05,2.8938084137502215e-05,6.297413398027995e-05,0.0025142441913089814,0.018137944630626013,0.01547340280217276,0.0001791034143757347,7.124103119896036e-05,0.00238585389465373,0.02184484761879605,5.137172777690066e-05,3.923610531207843e-05,0.004339504921300013,0.0011745510246554478,4.993820867346616e-05,0.00012951454997603022,6.235707467348037e-05,0.00022425808223504586,0.0034245522591731335,3.9503533824228214e-05,0.06487398933372131,2.7991926139727006e-05,6.362857592370672e-05,0.0035505122428271104,0.001481938284597564,0.0020126661568037074,5.316531373536788e-05,0.006834676921241634,0.006603990763457443,2.621866832103481e-05,0.0005058104733265315,0.18468334394854247,0.00031322516143531367,0.014777044765294173,0.07203435313842338,0.004488874387267451,0.012436862521192766,3.800815510584378e-05,0.0197436048471896,0.0035557969250922337,0.0007108225445597547,0.0004981614906068631,5.0264741135303124e-05,0.0018055881231625159,6.024914457465368e-05,0.025727033060240722,0.004542763890253899,0.15747752162250564,0.002351994922485578,0.0030191380000516538,0.12398943727684152,6.791551754825152e-05,0.00047272663887409715,5.080489840428119e-05,0.00030044718542585844,4.6266798817909004e-05,0.0001306127550213835,0.0001850311257926362,0.004442288880463712,0.03732593962822852,0.00011019515958245192,0.04960478196257861,6.36189261273705e-05,7.247292519870265e-05,6.902575978922476e-05,0.0009183767053222537,5.261415828296407e-05,4.079572160130598e-05,0.005072271272049786,0.0007287340980826936,0.0006312445545639002,0.0006917840406779397,0.027865046046409058
1802,5.698040610286156e-05,0.05009174847740583,6.959920289051427e-05,3.618243025795455e-05,0.02821855245128566,0.0014883896654537157,0.008422333056754017,6.234525207188143e-05,0.0006357184087659955,4.590805074333206e-05,0.0003411287017877781,0.024405624034779423,0.004801993203952655,0.0003827238690029682,5.193460661663609e-05,0.0029691760730352185,0.03993161481675727,0.00032686241448691856,2.860306287342787e-05,0.024093089820876348,0.008634307608181986,0.0015744314092945666,0.002317162229988243,0.0009067554326098787,0.0008882469420169663,0.0003800614797362511,0.0008833069235394036,0.13715554045835962,2.0406072849347957e-05,4.638513795435764e-05,0.007098546710803746,2.1563248094424457e-05,0.0032820128537608445,3.875743525925641e-05,4.665619727191301e-05,0.0010408649187371656,0.00037459270356391127,0.0008495240821119316,0.19480064328847616,0.00018149675596298515,0.012828585655781493,0.08674733273705078,0.00024093064216063357,0.0029530782859418093,2.7707888985117505e-05,0.025923835752816416,0.005702398606274947,0.0008886298910208714,0.0011980023755550164,3.66429221140627e-05,0.00247271856746123,0.0009244839203340912,0.024732549304732013,0.003705409133541357,0.11792751630094399,0.00011004688708857383,0.004456642432471901,0.08740111037073274,4.9510312072590594e-05,0.0022715784258467283,3.7036695966060237e-05,2.9679878012607425e-05,0.0006903834893563619,9.521650567081638e-05,7.238904417040105e-05,0.0009532755509986456,0.027776556331792032,0.004840111803086855,0.021759619810437156,4.637810326706834e-05,0.00012760961607155807,5.031967702792214e-05,0.00011100862170773864,3.8355643747771027e-05,8.09771330792398e-05,0.005692911140383835,0.0005699734869440923,5.237196104496213e-05,3.0361440000567966e-05,0.009344983759834568
1803,0.004845162012045953,0.10068113223279007,0.0012729724196398656,0.0025213805708561073,0.0027597583524684053,0.00014067796656327657,0.0034176003181835063,0.0002543314872269903,3.095900814127307e-05,6.737200421843088e-05,0.0021636756492048343,0.03153217498366771,0.0009423683464259496,0.0017429260104528945,0.00027163930160918663,8.307653116515072e-05,0.02345333336181646,5.495933078773638e-05,4.197620333179844e-05,0.0035305414572904016,0.001972024158597003,0.00308877485956928,0.0005669071406173229,6.671185187344207e-05,0.0010214642034061833,0.0077230697638546045,0.0037296851918147914,0.058089960128514716,2.994677412409113e-05,0.00046273308014230556,0.00983908884533865,3.164497769035953e-05,0.005796163860957745,5.6878173860636953e-05,6.846994086055416e-05,0.0029546071529128626,0.0010414889302854515,0.002689032314312198,0.12657045601548278,0.00025076100086332293,0.009312413144421945,0.08247578023877089,0.0004060914436877768,0.0035999910960206496,4.066249782692605e-05,0.024184212941009378,0.09895956432864744,0.0007245714722661544,0.0002080455708290878,0.001057627730488441,0.003979698494634314,6.445671207978042e-05,0.02361848460168044,0.001791341867170604,0.08929538340593865,4.6244362937807744e-05,0.0008024882077789409,0.15315089498712164,7.265847492544399e-05,0.0036394120687010707,0.0007533357891740394,0.0038236135419021087,4.949789331139607e-05,0.001373355338195453,0.0010080982645883918,0.0024383592901098534,0.024434691103170127,0.004981152819654503,0.015589328147111583,6.806182615814031e-05,0.003727329378187034,0.0002880201495985561,0.00046352144938598616,0.0010510160370292808,0.0007358805622471233,0.011345215109506836,0.0018726015029238178,7.685806570563599e-05,0.00020739389160051924,0.022424760280537893
1804,0.0002977596156334898,0.08593393864525851,0.00188840194991139,4.741172538584688e-05,0.007178938403276151,0.0005413393216947888,0.005889143633567755,0.0006482729146828653,0.0004442643691278391,0.0015785961164506257,0.0012880711781929934,0.027858506728212794,0.0026939622556936844,0.0017170293041185029,0.004497835146004683,0.00098544097065018,0.03215593434628346,0.00016001379783171403,3.748008501587419e-05,0.006848828486328955,0.002378759400681083,4.77032134493175e-05,0.0002677910661098031,5.9566270441826755e-05,0.0015919697373767215,0.00235262103219905,3.773554470768913e-05,0.04505748827052191,0.0004610390341164903,6.07808653812894e-05,0.0033478655699706737,2.8255448564154404e-05,0.0029527722544907178,0.004396700715996035,0.004847163579650307,0.0013611316348972715,2.504524620523139e-05,0.006276925183491112,0.15908374285617286,0.00012277151755231213,0.012828497812922583,0.12356695387353096,0.0015814559130183572,0.007210284499561278,3.630709198410231e-05,0.025602843452399028,0.08456214029040106,0.0003190738474168267,0.0020883091910768514,0.005032392349583741,0.002207450806777932,0.0011610341328569043,0.036644568717969006,0.0027080733485398164,0.07066116595384814,0.002832690975883243,0.0017241414328760427,0.1264166672753561,6.487594401531906e-05,0.0035482061733739965,4.853111429561616e-05,3.889109205177885e-05,4.4196118328129686e-05,0.006072903087028081,0.0005259726678328362,0.0017663825753853036,0.015258263048179316,0.0028959969238958644,0.02033120022014561,0.0030240451627017474,0.0002429493409607456,0.0025066798285346414,0.0024523374048267847,0.0034820519263101366,3.896990034406366e-05,0.0014968505858426802,0.0015042988874633986,0.001404304234359602,3.978417827004118e-05,0.008579261184554356
1805,0.00010085256436264864,0.09429639688879164,0.00040352546967049706,6.404115249371921e-05,0.0006009508222621406,0.004924591909601891,0.005415400768519271,0.004292780837875215,3.7338582746923525e-05,8.125503061521919e-05,0.00015587421818348215,0.028873783316444693,0.0025674152933120365,0.00011193625473967444,0.0002065975011103018,0.00020531238536832165,0.021724536603747534,0.0037732429290470563,5.062603861060233e-05,0.0046198881991483505,0.02910821480642963,0.0011256265021408595,0.0004824616202633402,0.0008570841860564924,0.007584122729059711,0.01237405823737569,5.097109952003726e-05,0.036020131527283304,3.6117762511425996e-05,0.002579721964957336,0.000943530095760443,0.002944165479854537,0.0023190965204819146,6.859878686998415e-05,8.257921380531782e-05,0.0018947251810720839,3.382974187121153e-05,0.003367603402734423,0.11490271340466664,0.0015831603722417202,0.03404904331796917,0.09792200941830184,0.005080363344904881,0.009776551318306318,4.904162410110218e-05,0.055649623497158504,0.014751684703730563,0.000652263608764357,0.0025662685063870773,6.48562008188011e-05,0.005616402873333156,0.00021908935776325574,0.020244587646974458,0.005205825610064588,0.08719564649423125,5.577371743476967e-05,0.004237034439758574,0.125869130066099,8.763085903427779e-05,0.033320843874191375,0.0033222027458009963,5.253194935358189e-05,5.969768723766211e-05,0.0024153507835460762,0.003406175983357736,0.0029525866922515296,0.02663060179651151,0.00014218394918022968,0.02737873277843827,8.208700085983899e-05,9.351124634185712e-05,0.004279552516745988,0.0009453181113510089,0.002070408106857138,0.0026767770265802957,0.012402252764507819,0.0007857654640518932,9.269583938293332e-05,5.3738281125486774e-05,0.016679299395583536
1806,0.0001370589871614513,0.07321835984606545,0.00016741186853245647,8.70321498804841e-05,0.00041723996102441377,0.0005313286508932377,0.00652667281861946,0.0001499634293211595,5.0743264345122674e-05,0.0001104258703611032,0.000211833606848012,0.019796695051078082,0.000343147838825812,0.0046706140301984575,0.00012492196999535032,0.00013616632556677624,0.027256586123917344,9.008091724602865e-05,0.0027152543296714974,0.0037778649344543474,0.008222729922266215,8.756722496205706e-05,0.00144142510089275,0.00010934384974865463,0.02437859088866576,0.028306396384032387,6.92699022466222e-05,0.017752856215710745,4.908416538179017e-05,0.00011157344185809823,0.0009255729165406085,0.0003433697645237878,0.006404202213293756,9.322599091378592e-05,0.002444242751616869,0.0095697887390441,4.597473734161994e-05,0.000163616685831074,0.08188070882863706,0.0002253676496628188,0.04538762133082514,0.13158691143720563,0.00045210480651269175,0.006549901439415724,6.664773841426554e-05,0.06524915787631397,0.018619848702163527,0.0013713329910606995,0.0011609847125366084,8.813980340054408e-05,0.002833476051285445,0.00010564757000471732,0.024477984359712643,0.002252406606136353,0.11171348111622742,7.579667676422138e-05,0.0004920006565208891,0.10033832839492059,0.002212221867469395,0.04639735104810071,0.0019883996041003002,7.139110262113617e-05,8.112936542945613e-05,0.01677959800262458,0.00017412247040974428,0.004357308804209548,0.038889775099554644,0.0019099605252663478,0.023640023882184367,0.00011155652082890916,0.0023879675658631163,0.00012103746602451814,0.0008392608763619505,9.225953347024224e-05,0.0006545400963385683,0.016761488039405165,0.00013782286360176086,0.00012597396942948445,7.303051171185033e-05,0.0062276991683964476
1807,0.00022825655407088754,0.034712820649795036,0.003042386662489771,0.00014494240061543122,0.00032904881904324986,0.00020247402432158708,0.00489135454610212,0.00024974747240163764,8.450728333547383e-05,0.008003080833084538,0.0003527853965429989,0.021240345067414408,0.004858510398619576,0.0002533419347732698,0.008232214567115682,0.0011440036365653482,0.05798226215550658,0.00015001978479457464,0.00011458037971115314,0.004148494343550401,0.008815351431160088,0.0001458335088661085,0.0003782186380717145,0.00018210006413568852,0.0006548961985754594,0.013023849306412196,0.0031658786935940247,0.019220461811071843,8.174423787544307e-05,0.00018581320270781113,0.011213841843901272,8.637974070812702e-05,0.00286813006658925,0.00015525755644726973,0.00018689903325914669,0.0032134285660180496,7.65658300652016e-05,0.0002724854580481237,0.15755038877415944,0.0003753248449916922,0.02610037746932518,0.06697371920538313,0.007217587395353395,0.0009228898731618789,0.00011099442234413986,0.060940287247799194,0.00898216033349252,0.0008853837523433106,0.0011800566265307362,0.00014678707480155764,0.0006468771150846602,0.0020104117427575145,0.04077371444226956,0.0027724392110781257,0.19208322861417534,0.00012623096526932542,0.0018072857694810245,0.10117232565507553,0.0001983322688901694,0.009002041883960825,0.00014836448480418077,0.00011889396976519359,0.0038219561702578842,0.0032565637445873727,0.00028998167799985567,0.0012157151716197245,0.02236469971563244,0.00048311085995138877,0.040768128418558654,0.0001857850226089062,0.00021164117136491265,0.0051716106436988,0.0004446869932345857,0.00015364802867905725,0.00011913489462036824,0.020371416318977844,0.00022952870562849108,0.0002097956854936748,0.00012162422392443459,0.004042557313503413
