,Number,Score,Rank
0,0,"0,00707",48.0
1,1,"0,33288",4.0
2,2,"0,00864",43.0
3,3,"0,00449",68.0
4,4,"0,0102",40.0
5,5,"0,00627",53.0
6,6,"0,06383",14.0
7,7,"0,00774",46.0
8,8,"0,00262",78.0
9,9,"0,0057",59.0
10,10,"0,01093",39.0
11,11,"0,1714",11.0
12,12,"0,01771",33.0
13,13,"0,00785",45.0
14,14,"0,00645",52.0
15,15,"0,00703",49.0
16,16,"0,2283",7.0
17,17,"0,00465",64.0
18,18,"0,00355",75.0
19,19,"0,04683",17.0
20,20,"0,05764",15.0
21,21,"0,00452",67.0
22,22,"0,01172",37.0
23,23,"0,00564",60.0
24,24,"0,02029",30.0
25,25,"0,03824",19.0
26,26,"0,00357",74.0
27,27,"0,22144",8.0
28,28,"0,00253",79.0
29,29,"0,00576",57.5
30,30,"0,03227",21.0
31,31,"0,00268",77.0
32,32,"0,03399",20.0
33,33,"0,00481",62.0
34,34,"0,00579",56.0
35,35,"0,02197",28.0
36,36,"0,00237",80.0
37,37,"0,00844",44.0
38,38,"0,67503",1.0
39,39,"0,01163",38.0
40,40,"0,13502",13.0
41,41,"0,24199",6.0
42,42,"0,02333",26.0
43,43,"0,0236",25.0
44,44,"0,00344",76.0
45,45,"0,21209",9.0
46,46,"0,03925",18.0
47,47,"0,02113",29.0
48,48,"0,0176",34.0
49,49,"0,00455",66.0
50,50,"0,02004",31.0
51,51,"0,00545",61.0
52,52,"0,20719",10.0
53,53,"0,02468",24.0
54,54,"0,54109",3.0
55,55,"0,00391",70.0
56,56,"0,02539",23.0
57,57,"0,64903",2.0
58,58,"0,00615",55.0
59,59,"0,02251",27.0
60,60,"0,0046",65.0
61,61,"0,00368",73.0
62,62,"0,00419",69.0
63,63,"0,01182",36.0
64,64,"0,00899",42.0
65,65,"0,01862",32.0
66,66,"0,25734",5.0
67,67,"0,00997",41.0
68,68,"0,14814",12.0
69,69,"0,00576",57.5
70,70,"0,00656",50.0
71,71,"0,00625",54.0
72,72,"0,01378",35.0
73,73,"0,00476",63.0
74,74,"0,00369",72.0
75,75,"0,04787",16.0
76,76,"0,00711",47.0
77,77,"0,0065",51.0
78,78,"0,00377",71.0
79,79,"0,02939",22.0
