idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm
ub0825,SpazierJohann_RochlitzFriedrich_1799-12-26.xml,JP-UB0825,letters-context,Spazier Johann Karl Gottlieb,Rochlitz Friedrich,1799-12-26,1799,12,1799,SpazierJohannKarlGottlieb,RochlitzFriedrich
ub1032,WagnerJohann_Unbekannt_1800-01-01.xml,JP-UB1032,letters-context,Wagner Johann Ernst,Unbekannte Korrespondenten,1800-01-01,1800,1,1799,WagnerJohannErnst,UnbekannteKorrespondenten
ub0654,SpazierJohann_BoettigerCarl_1800-05-01.xml,JP-UB0654,letters-context,Spazier Johann Karl Gottlieb,Böttiger Carl August,1800-05-01,1800,5,1799,SpazierJohannKarlGottlieb,BöttigerCarlAugust
ub0066,SpazierJohann_Unbekannt_1800-06-02.xml,JP-UB0066,letters-context,Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1800-06-02,1800,6,1799,SpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub0740,RichterCaroline_Unbekannt_1800-06-09.xml,JP-UB0740,letters-context,Richter Caroline,Unbekannte Korrespondenten,1800-06-09,1800,6,1799,RichterCaroline,UnbekannteKorrespondenten
ub0574,RichterCaroline_AhlefeldtJohann_1800-06-23.xml,JP-UB0574,letters-context,Richter Caroline,Ahlefeldt Johann Georg Jacob von,1800-06-23,1800,6,1799,RichterCaroline,AhlefeldtJohannGeorgJacobvon
ub0707,SpazierJohann_Unbekannt_1800-06-23.xml,JP-UB0707,letters-context,Spazier Johann Karl Gottlieb,Unbekannte Korrespondenten,1800-06-23,1800,6,1799,SpazierJohannKarlGottlieb,UnbekannteKorrespondenten
ub0060,RichterCaroline_Uthe-SpazierWilhelmine_1800-06-28.xml,JP-UB0060,letters-context,Richter Caroline,Uthe-Spazier Wilhelmine,1800-06-28,1800,6,1799,RichterCaroline,UtheSpazierWilhelmine
ub0511,SpazierJohann_BoettigerCarl_1800-07-10.xml,JP-UB0511,letters-context,Spazier Johann Karl Gottlieb,Böttiger Carl August,1800-07-10,1800,7,1799,SpazierJohannKarlGottlieb,BöttigerCarlAugust
ub0694,SpazierJohann_RochlitzFriedrich_1800-07-24.xml,JP-UB0694,letters-context,Spazier Johann Karl Gottlieb,Rochlitz Friedrich,1800-07-24,1800,7,1799,SpazierJohannKarlGottlieb,RochlitzFriedrich
ub0155,SpazierJohann_BoettigerCarl_1800-08-20.xml,JP-UB0155,letters-context,Spazier Johann Karl Gottlieb,Böttiger Carl August,1800-08-20,1800,8,1799,SpazierJohannKarlGottlieb,BöttigerCarlAugust
